,publish_time,code,title,content,pdf_url
0,12-05 22:50,600234,ST山水：股东及其一致行动人再次举牌  股价或逆市上涨,"[机构解读]　　【看平】1、截至2016年12月5日收市，深圳派德高管理咨询有限公司及其一致行动人通过大宗交易及二级市场交易，合计买受本公司20,244,560股股份，占*ST山水总股本的9.999986%。2、信息披露义务人未来12个月内将继续增加*ST山水不少于100万股股份。3、前期上交所刚下发处分不久，公司多位股东故意隐瞒一致行动关系多次违规交易。公司股价近期小幅攀升，逆势上涨，丝毫不受影响。短期来看，ST个股未来仍存退市风险，建议理性投资。仅供参考，不作为投资依据。（广发证券唐人杰）",http://ggjd.cnstock.com/ggjd/download/2000645695.PDF
1,12-05 22:39,000503,海虹控股：转让三家子公司 股价上升趋势被打破,"[机构解读]　　【看空】1、公司控股子公司中公网医疗及中公网信息拟转让所持有的北京药通95%、5%的股权。公司及控股子公司海虹资管转让所持有的重庆卫虹90%和10%的股权。2、股权转让完成后，公司将不再持有北京药通及重庆卫虹股权，两家公司将不再纳入报表合并范围。该笔交易预计实现利润总额约7,000万元人民币。3、公司三季报显示，截止三季度末，公司今年利润为-8514万元。此次交易有望缩减公司今年亏损。从股价走势看，经历了年初至今的翻倍行情，周一股价跌停，打破上升趋势，近期调整概率较大。仅供参考，不作为投资依据。（广发证券唐人杰）",http://ggjd.cnstock.com/ggjd/download/2000644411.PDF
2,12-05 22:27,600877,中国嘉陵：出售重庆地区土地 当期业绩有望扭亏,"[机构解读]　　【看平】1、公司拟处置重庆市北碚区双柏树华光村土地及地上房屋建筑物，由重庆市辖区内土地储备中心收购储备。2、本次资产出售可以盘活公司存量资产，优化资产结构，有利于改善公司财务状况，增强持续经营能力，不存在损害公司股东利益的情况，公司预计获得收益不低于20,610万元。3、公司三季报显示，截至三季度末，公司净利润为-12,324万元。此次资产出售后，全年利润有望扭亏。对当期收益有影响，但对公司经营影响较小，预计对股价影响不大。仅供参考，不作为投资依据。（广发证券唐人杰）",http://ggjd.cnstock.com/ggjd/download/2000645263.PDF
3,12-05 21:56,000639,西王食品：设立子公司影响正面 股价继续向上概率大,[机构解读]　　【看多】1、拟使用自有资金在香港特别行政区投资设立全资子公司“奥威特运动营养科技有限公司”。2、本次对外投资，有利于KERR公司MuscleTech等产品在亚洲特别是中国市场的品类的丰富和市场推广。3、上个交易日公司股价走强，预计继续向上的概率大。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645374.PDF
4,12-05 21:52,000635,英力特：控股股东拟转让控股权 股价未来存想象空间,"[机构解读]　　【看平】1、公司控股股东英力特集团拟转让其持有的上市公司全部股份，共计155,322,687股，占公司总股本的51.25%。2、受让上市公司股份的受让方须同时受让英力特煤业100%股权及相关债权。本次上市公司股份转让价格为19.52元/股。3、若公司控制权转让后，不排除新控股股东后续有优质资产注入上市公司，或是对上市公司进行重大资产重组的可能。中期看存在一定想象空间，短期对股价影响不大。仅供参考，不作为投资依据。（广发证券唐人杰）　　【看多】1、2016年12月5日消息，国务院国有资产监督管理委员会同意英力特集团转让持有的英力特化工全部股份。2、本次股份转让价格不低于19.52元/股。上个交易日收盘价20.86元/股。3、上个交易日公司股价再度走强，本次公告属于利好消息，有助于股价继续向上。仅供参考。（山东神光金融研究所）",http://ggjd.cnstock.com/ggjd/download/2000644885.PDF
5,12-05 21:51,002146,荣盛发展：与西安临潼区签订投资建设框架协议 影响有限,[机构解读]　　【看平】1、拟通过战略合作共同推进秦文化旅游区旅游休闲度假综合服务体项目。2、通过上述协议的签署，公司将与西安市临潼区秦文化旅游区管理委员会合作，共同致力于秦文化重要旅游服务配套设施的建设与发展。3、近两个交易日股价持续弱势，本次协议签订影响有限，股价小幅波动的概率大。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645272.PDF
6,12-05 21:48,600787,中储股份：拆迁及获取补偿有助股价向上,[机构解读]　　【看多】1、郑州市管城回族区房屋征收与补偿办公室在2016年至2017年间分期对公司所属郑州物流中心支付拆迁补偿款合计63669万元。2、若本次拆迁及补偿依约顺利完成，将增加公司相应年度营业外收入及净利润。3、近5个交易日公司股价总体表现还不错，本次获得补偿有助股价向上。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645252.PDF
7,12-05 21:43,002533,金杯电工：1.7亿元参与设立九信人寿 有助股价反弹,"[机构解读]　　【看多】1、九信人寿注册资本为10亿元人民币，公司以自有资金出资17,000万元，预计占九信人寿总股本的17%。2、有利于优化公司经营结构、拓宽和丰富业务领域，推进公司在金融领域的战略布局。3、近一周股价持续弱势，本次参与设立人寿保险，有助于股价反弹。仅供参考。（山东神光金融研究所）",http://ggjd.cnstock.com/ggjd/download/2000645338.PDF
8,12-05 21:40,600189,激励森工：收购两公司涉足矿泉水及园林行业 复牌股价有望上涨,"[机构解读]　　【看多】1、公司拟以发行股份的方式购买新泉阳泉75.45%股权、园区园林100%股权，同时，向控股股东在内的3名特定投资者非公开发行股份募集集配套资金82,000.00万元。募集资金投向（1）长白山天泉20万吨含气矿泉水生产项目；（2）靖宇海源40万吨矿泉水建设项目；（3）泉阳泉年产40万吨矿泉水扩建项目；（4）销售渠道建设项目；（5）支付部分中介机构费用。2、本次交易完成后，上市公司主营业务进一步多元化。两个标的公司可利用上市公司品牌效应和融资平台，为自身业务后续发展提供更为强劲的推动力，进一步提升企业的综合竞争力和盈利能力，进而为上市公司的股东带来回报。3、收购两个公司股权涉及资金16亿，总股本将从310,500,000股增至570,610,794股。公司停牌前股价总市值37亿。收购的体量相比公司当前市值较大，且停牌期间市场中枢上移。复牌后股价有望大涨。仅供参考，不作为投资依据。（广发证券唐人杰）　　【看多】1、本次交易中，吉林森工拟以发行股份的方式购买森工集团、睿德嘉信、泉阳林业局合计持有的新泉阳泉75.45%股权。2、以发行股份的方式购买赵志华、上海集虹、陈爱莉、赵永春合计持有的园区园林100%股权。3、公司继续停牌。在该事件影响下，如果复牌，公司股价有望继续向上。仅供参考。（山东神光金融研究所）",http://ggjd.cnstock.com/ggjd/download/2000644994.PDF
9,12-05 21:39,600990,四创电子：购买资产获证监会通过,[机构解读]　　【看平】1、公司本次发行股份购买资产并募集配套资金暨关联交易事项获得无条件通过。2、公司尚未收到中国证监会的正式核准文件，待收到中国证监会相关核准文件后将另行公告。3、自2016年12月6日开市起复牌。复牌后股价小幅波动的概率大。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645299.PDF
10,12-05 21:35,600682,南京新百：购买资产获证监会通过 先防范补跌风险,[机构解读]　　【看空】1、公司发行股份及支付现金购买资产并募集配套资金事项获得有条件通过。2、公司尚未收到中国证监会的正式核准文件，待收到中国证监会相关核准文件后将另行公告。3、2016年12月6日（星期二）开市起复牌。先防范补跌风险。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645212.PDF
11,12-05 21:29,000656,金科股份：23.5亿元购三资产 有助于股价反弹,[机构解读]　　【看多】1、本次对三家公司的收购为整体收购，收购完成后，金科股份全资子公司山东百俊分别持有济南海睿、青岛海昌和泰安海大100%的股权。2、本次交易金额合计为23.5亿元，占公司最近一期经审计净资产的18.29%。3、上个交易日股价跌幅较大，本次以自有资金购买资产，有助于股价反弹。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645370.PDF
12,12-05 21:20,300120,经纬电材：收购新辉开100%股权 股价上涨的概率大,[机构解读]　　【看多】1、本次交易完成后，上市公司将持有新辉开100%股权。2、本次交易后，公司的实际控制人及控股股东均没有发生变更。3、公司继续停牌。预计复牌后，股价上涨的概率大。仅供参考。（山东神光金融研究所）,http://ggjd.cnstock.com/ggjd/download/2000645408.PDF
13,12-05 21:15,600482,中国动力：拟实施股票期权激励计划  股价小幅低于行权价存潜在机会,"[机构解读]　　【看多】1、公司拟实施股票期权激励计划。本计划拟授予激励对象的股票期权为1,739万份，对应的标的股票数量为1,739万股，占当前公司总股本173,919.09万股的1.00%。行权价格为每股32.40元。2、本计划在2018-2020年的三个会计年度中，分年度对公司业绩指标进行考核。3、股票期权激励计划的实施有望推动公司未来三年实现持续性增长，释放业绩。行权价格小幅高于现价。对股价利好，但需注意业绩的释放是个中长期过程，股价短期的波动有一定随机性或是受大市影响。仅供参考，不作为投资依据。（广发证券唐人杰）",http://ggjd.cnstock.com/ggjd/download/2000645645.PDF
